id,action,value,created_at,user_id
3101,enter,home,2018-03-02 11:34:49.505703+00,121
3136,enter,home,2018-03-02 12:20:20.267177+00,81
3149,enter,home,2018-03-02 12:30:48.167271+00,81
3166,enter,home,2018-03-02 12:37:00.220823+00,81
3169,enter,home,2018-03-02 12:43:14.109623+00,81
3172,enter,home,2018-03-02 14:09:15.230965+00,123
3195,enter,home,2018-03-02 14:16:02.199213+00,96
3198,enter,home,2018-03-02 14:16:32.73927+00,96
3201,enter,home,2018-03-02 14:17:04.359841+00,96
3207,enter,home,2018-03-02 14:18:08.250309+00,96
3213,enter,home,2018-03-02 14:33:15.396359+00,96
3214,enter,home,2018-03-02 14:55:49.538909+00,18
3215,enter,home,2018-03-02 14:55:51.287296+00,18
1918,enter,home,2018-02-25 20:56:23.04639+00,81
1919,enter,home,2018-02-26 02:53:46.730646+00,85
1920,search_cate,อาหารไทย,2018-02-26 02:53:53.370922+00,85
1921,กรอกประวัติความหิว,JoopJangKamonchat,2018-02-26 02:55:20.792379+00,85
1922,enter,home,2018-02-26 02:55:29.87043+00,85
9608,enter,"โต้รุ่ง,สลัด checkout",2018-04-19 17:52:51.100383+00,265
1926,enter,home,2018-02-26 10:27:44.266877+00,86
1927,enter,โรงอาหารโต้รุ่ง,2018-02-26 10:27:48.267278+00,86
1928,กรอกประวัติความหิว,nnamnm,2018-02-26 10:29:07.002914+00,86
1929,enter,home,2018-02-26 10:29:09.930407+00,86
1930,search_cate,เครื่องดื่ม,2018-02-26 10:29:12.795884+00,86
1931,search_cate,อาหารไทย,2018-02-26 10:29:18.318709+00,86
1932,enter,โรงอาหารโต้รุ่ง,2018-02-26 10:29:29.501041+00,86
1933,enter,home,2018-02-26 11:13:35.161298+00,87
1934,enter,โรงอาหารโต้รุ่ง,2018-02-26 11:13:38.809752+00,87
1935,กรอกประวัติความหิว,KaikhonPankaew,2018-02-26 11:14:55.432696+00,87
1936,enter,home,2018-02-26 11:14:58.950271+00,87
1937,enter,โรงอาหารโต้รุ่ง,2018-02-26 11:15:01.537552+00,87
1938,search_cate,อาหารไทย,2018-02-26 11:15:38.604793+00,87
1939,search_cate,สเต็ก,2018-02-26 11:15:52.131471+00,87
1940,search_cate,เครื่องดื่ม,2018-02-26 11:15:54.206478+00,87
1941,search_cate,all,2018-02-26 11:16:00.779303+00,87
1942,enter,home,2018-02-26 11:36:22.028779+00,68
1943,search_cate,สเต็ก,2018-02-26 11:36:32.811968+00,68
1944,enter,โรงอาหารโต้รุ่ง,2018-02-26 11:36:38.35714+00,68
1945,enter_store,อาหารอิสลาม Halal Food,2018-02-26 11:36:49.500544+00,68
1946,enter_store,ข้าวยำไก่ย่าง ข้าวมันไก่ 2 สี,2018-02-26 11:37:16.910698+00,68
1947,enter_store,ตำยำย่าง อาหารอีสาน ลาบยโส,2018-02-26 11:37:37.12432+00,68
9659,enter,โรงอาหารโต้รุ่ง,2018-04-20 10:13:02.421482+00,255
9676,เพิ่มเข้าตะกร้า,"255,ข้าวห่อหมกหมู,ไก่",2018-04-20 10:53:26.346932+00,258
1951,enter,home,2018-02-26 13:19:35.031205+00,84
1952,enter,home,2018-02-26 13:19:55.495555+00,88
1953,กรอกประวัติความหิว,DONUT,2018-02-26 13:20:56.369728+00,88
1954,enter,โรงอาหารโต้รุ่ง,2018-02-26 13:21:26.189739+00,88
1955,enter_store,พินิจโต้รุ่ง,2018-02-26 13:22:24.658965+00,88
1956,enter_store,ร้านอาหารตามสั่งอิ่มอร่อย,2018-02-26 13:22:33.382226+00,88
1957,search_input,ชาบู,2018-02-26 13:23:09.856991+00,84
1958,enter,home,2018-02-26 13:23:12.912952+00,84
1959,search_cate,all,2018-02-26 13:23:16.508848+00,84
1960,enter,home,2018-02-26 13:23:23.845317+00,84
1961,enter,โรงอาหารโต้รุ่ง,2018-02-26 13:24:03.6478+00,84
1962,เพิ่มเข้าตะกร้า,"ข้าวกระเพราหมู,ไก่",2018-02-26 13:24:16.008974+00,88
1963,enter_store,ร้าน 3 ป. ขาหมู อาหารตามสั่ง,2018-02-26 13:25:02.249675+00,88
1964,เพิ่มเข้าตะกร้า,"ข้าวราดผัดพริกแกงหมู,หมูกรอบ,แหนม,ไก่,ปลาเค็ม",2018-02-26 13:25:43.52993+00,88
1965,enter,โต้รุ่ง checkout,2018-02-26 13:25:52.314632+00,88
1966,enter,โต้รุ่ง checkout,2018-02-26 13:26:40.436035+00,88
1967,enter_store,ร้านอาหารตามสั่งอิ่มอร่อย,2018-02-26 13:26:59.647958+00,88
1968,เพิ่มเข้าตะกร้า,"ข้าวกระเพราหมู,ไก่",2018-02-26 13:27:51.921725+00,88
1969,เพิ่มเข้าตะกร้า,"ข้าวกระเพราหมู,ไก่",2018-02-26 13:27:59.789886+00,88
1970,เพิ่มเข้าตะกร้า,"ข้าวกระเพราหมู,ไก่",2018-02-26 13:28:04.783316+00,88
1971,enter_store,ร้าน 3 ป. ขาหมู อาหารตามสั่ง,2018-02-26 13:28:30.366693+00,88
1972,เพิ่มเข้าตะกร้า,"ข้าวราดผัดพริกแกงหมู,หมูกรอบ,แหนม,ไก่,ปลาเค็ม",2018-02-26 13:28:53.415633+00,88
1973,เพิ่มเข้าตะกร้า,"ข้าวราดผัดพริกแกงหมู,หมูกรอบ,แหนม,ไก่,ปลาเค็ม",2018-02-26 13:28:58.170097+00,88
1974,enter,โต้รุ่ง checkout,2018-02-26 13:29:02.211877+00,88
1975,เพิ่มเข้าตะกร้า,"ข้าวราดผัดพริกแกงหมู,หมูกรอบ,แหนม,ไก่,ปลาเค็ม",2018-02-26 13:29:22.391686+00,88
1976,enter,โต้รุ่ง checkout,2018-02-26 13:29:26.835288+00,88
1977,ใช้โค้ด,37,2018-02-26 13:30:05.683744+00,88
1978,สั่งอาหาร,104,2018-02-26 13:31:13.982028+00,88
9707,search_cate,อาหารไทย,2018-04-20 11:58:20.368927+00,221
1980,enter,home,2018-02-26 14:31:32.451911+00,80
1981,enter,home,2018-02-26 14:31:41.414219+00,89
1982,enter,โรงอาหารโต้รุ่ง,2018-02-26 14:31:46.422169+00,89
1983,enter_store,ข้าวหน้าเป็ด-ข้าวหมูแดง-ข้าวหมูกรอบ,2018-02-26 14:31:52.371097+00,89
1984,เพิ่มเข้าตะกร้า,ข้าวหน้าเป็ด,2018-02-26 14:32:00.88141+00,89
1985,เพิ่มเข้าตะกร้า,ข้าวหน้าเป็ด,2018-02-26 14:32:03.338833+00,89
1986,เพิ่มเข้าตะกร้า,ข้าวหน้าเป็ด,2018-02-26 14:32:06.139338+00,89
1987,enter,โต้รุ่ง checkout,2018-02-26 14:32:11.977646+00,89
1988,เพิ่มเข้าตะกร้า,ข้าวหน้าเป็ด,2018-02-26 14:32:20.16172+00,89
1989,enter,โต้รุ่ง checkout,2018-02-26 14:32:28.52639+00,89
9720,enter,"โต้รุ่ง,สลัด checkout",2018-04-20 12:02:35.954728+00,221
9733,enter,steak checkout,2018-04-20 12:58:07.645259+00,46
9748,enter_store,"3,ร้านอาหารตามสั่งอิ่มอร่อย",2018-04-20 13:40:41.704799+00,224
